date,total
2009-1-01,20322
2009-2-01,20613
2009-3-01,22704
2009-4-01,20276
2009-5-01,20669
2009-6-01,18074
2009-7-01,18719
2009-8-01,20217
2009-9-01,19642
2009-10-01,20842
2009-11-01,18204
2009-12-01,16898
2010-1-01,20746
2010-2-01,23058
2010-3-01,24624
2010-4-01,22154
2010-5-01,22444
2010-6-01,21471
2010-7-01,21866
2010-8-01,22548
2010-9-01,21518
2010-10-01,23408
2010-11-01,19645
2010-12-01,18278
2011-1-01,23576
2011-2-01,26650
2011-3-01,26207
2011-4-01,23195
2011-5-01,22960
2011-6-01,23002
2011-7-01,22973
2011-8-01,24089
2011-9-01,22805
2011-10-01,23241
2011-11-01,21581
2011-12-01,21119
2012-1-01,23107
2012-2-01,25780
2012-3-01,28544
2012-4-01,23488
2012-5-01,23964
2012-6-01,23720
2012-7-01,25069
2012-8-01,24618
2012-9-01,24430
2012-10-01,25229
2012-11-01,22344
2012-12-01,22372
2013-1-01,25412
2013-2-01,25354
2013-3-01,29161
2013-4-01,24924
2013-5-01,24763
2013-6-01,25342
2013-7-01,24911
2013-8-01,25847
2013-9-01,23743
2013-10-01,25036
2013-11-01,21911
2013-12-01,20752
2014-1-01,24507
2014-2-01,25968
2014-3-01,28752
2014-4-01,25167
2014-5-01,24728
2014-6-01,23690
2014-7-01,24816
2014-8-01,26004
2014-9-01,24210
2014-10-01,25083
2014-11-01,21807
2014-12-01,21635
2015-1-01,27173
2015-2-01,29308
2015-3-01,28645
2015-4-01,25023
2015-5-01,27261
2015-6-01,24670
2015-7-01,26441
2015-8-01,27961
2015-9-01,26498
2015-10-01,27800
2015-11-01,23939
2015-12-01,22930
2016-1-01,27584
2016-2-01,27586
2016-3-01,30485
2016-4-01,26135
2016-5-01,27370
2016-6-01,25487
2016-7-01,26427
2016-8-01,27672
2016-9-01,26853
2016-10-01,27875
2016-11-01,23416
2016-12-01,22482
2017-1-01,27140
2017-2-01,28526
2017-3-01,28845
2017-4-01,25033
2017-5-01,24764
2017-6-01,24896
2017-7-01,24623
2017-8-01,26538
2017-9-01,24674
2017-10-01,25863
2017-11-01,23156
2017-12-01,22721
2018-1-01,26204
2018-2-01,26526
2018-3-01,27473
2018-4-01,24536
2018-5-01,25764
2018-6-01,25154
2018-7-01,23729
2018-8-01,25336
2018-9-01,24649
2018-10-01,25904
2018-11-01,22868
2018-12-01,21825
2019-1-01,26955
2019-2-01,27349
2019-3-01,29367
2019-4-01,24071
2019-5-01,23173
2019-6-01,21740
2019-7-01,22056
2019-8-01,23923
2019-9-01,22189
2019-10-01,22458
2019-11-01,19476
2019-12-01,21056
2020-1-01,22842
2020-2-01,22943
2020-3-01,23445
2020-4-01,19176
2020-5-01,22058
2020-6-01,19451
2020-7-01,20378
2020-8-01,21778
2020-9-01,20431
2020-10-01,22486
2020-11-01,18889
2020-12-01,18574
2021-1-01,24658
2021-2-01,24997
2021-3-01,23987
2021-4-01,21199
2021-5-01,21205
2021-6-01,21553
2021-7-01,21166
2021-8-01,20720
2021-9-01,18067
2021-10-01,21121
2021-11-01,16617
2021-12-01,15917
